"sample_ID,N,10,0","COUNT,N,10,0","AREA,N,19,11","MIN,N,19,11","MAX,N,19,11","RANGE,N,19,11","MEAN,N,19,11","STD,N,19,11","SUM,N,19,11"
303,1,1000000,0.708316609,0.708316609,0,0.708316609,0,0.708316609
304,1,1000000,0.739380507,0.739380507,0,0.739380507,0,0.739380507
305,1,1000000,0.759658463,0.759658463,0,0.759658463,0,0.759658463
306,1,1000000,0.7292627,0.7292627,0,0.7292627,0,0.7292627
307,1,1000000,0.74461734,0.74461734,0,0.74461734,0,0.74461734
308,1,1000000,0.799387752,0.799387752,0,0.799387752,0,0.799387752
309,1,1000000,0.698815245,0.698815245,0,0.698815245,0,0.698815245
310,1,1000000,0.748002159,0.748002159,0,0.748002159,0,0.748002159
311,1,1000000,0.723274152,0.723274152,0,0.723274152,0,0.723274152
312,1,1000000,0.742096481,0.742096481,0,0.742096481,0,0.742096481
313,1,1000000,0.790507538,0.790507538,0,0.790507538,0,0.790507538
314,1,1000000,0.750132975,0.750132975,0,0.750132975,0,0.750132975
315,1,1000000,0.714177807,0.714177807,0,0.714177807,0,0.714177807
316,1,1000000,0.78580125,0.78580125,0,0.78580125,0,0.78580125
317,1,1000000,0.790707267,0.790707267,0,0.790707267,0,0.790707267
318,1,1000000,0.711240222,0.711240222,0,0.711240222,0,0.711240222
319,1,1000000,0.461433608,0.461433608,0,0.461433608,0,0.461433608
320,1,1000000,0.639240954,0.639240954,0,0.639240954,0,0.639240954
321,1,1000000,0.793893664,0.793893664,0,0.793893664,0,0.793893664
322,1,1000000,0.809143263,0.809143263,0,0.809143263,0,0.809143263
323,1,1000000,0.675184718,0.675184718,0,0.675184718,0,0.675184718
324,1,1000000,0.690299852,0.690299852,0,0.690299852,0,0.690299852
325,1,1000000,0.796249103,0.796249103,0,0.796249103,0,0.796249103
329,1,1000000,0.397801254,0.397801254,0,0.397801254,0,0.397801254
330,1,1000000,0.258003223,0.258003223,0,0.258003223,0,0.258003223
331,1,1000000,0.167487203,0.167487203,0,0.167487203,0,0.167487203
332,1,1000000,0.185506234,0.185506234,0,0.185506234,0,0.185506234
333,1,1000000,0.780076185,0.780076185,0,0.780076185,0,0.780076185
335,1,1000000,0.195600139,0.195600139,0,0.195600139,0,0.195600139
336,1,1000000,0.259985783,0.259985783,0,0.259985783,0,0.259985783
337,1,1000000,0.226574895,0.226574895,0,0.226574895,0,0.226574895
338,1,1000000,0.211574502,0.211574502,0,0.211574502,0,0.211574502
339,1,1000000,0.711062025,0.711062025,0,0.711062025,0,0.711062025
340,1,1000000,0.195016482,0.195016482,0,0.195016482,0,0.195016482
341,1,1000000,0.701269119,0.701269119,0,0.701269119,0,0.701269119
342,1,1000000,0.632974721,0.632974721,0,0.632974721,0,0.632974721
343,1,1000000,0.729923166,0.729923166,0,0.729923166,0,0.729923166
345,1,1000000,0.496996394,0.496996394,0,0.496996394,0,0.496996394
346,1,1000000,0.157907041,0.157907041,0,0.157907041,0,0.157907041
347,1,1000000,0.258294778,0.258294778,0,0.258294778,0,0.258294778
348,1,1000000,0.457695377,0.457695377,0,0.457695377,0,0.457695377
349,1,1000000,0.360364738,0.360364738,0,0.360364738,0,0.360364738
350,1,1000000,0.544065868,0.544065868,0,0.544065868,0,0.544065868
351,1,1000000,0.444583168,0.444583168,0,0.444583168,0,0.444583168
352,1,1000000,0.689476711,0.689476711,0,0.689476711,0,0.689476711
353,1,1000000,0.678377988,0.678377988,0,0.678377988,0,0.678377988
354,1,1000000,0.219328319,0.219328319,0,0.219328319,0,0.219328319
355,1,1000000,0.284114112,0.284114112,0,0.284114112,0,0.284114112
356,1,1000000,0.218450045,0.218450045,0,0.218450045,0,0.218450045
357,1,1000000,0.177738258,0.177738258,0,0.177738258,0,0.177738258
358,1,1000000,0.451720354,0.451720354,0,0.451720354,0,0.451720354
359,1,1000000,0.733455599,0.733455599,0,0.733455599,0,0.733455599
360,1,1000000,0.22990693,0.22990693,0,0.22990693,0,0.22990693
362,1,1000000,0.217758994,0.217758994,0,0.217758994,0,0.217758994
363,1,1000000,0.318686207,0.318686207,0,0.318686207,0,0.318686207
364,1,1000000,0.226297363,0.226297363,0,0.226297363,0,0.226297363
365,1,1000000,0.696284012,0.696284012,0,0.696284012,0,0.696284012
366,1,1000000,0.752561565,0.752561565,0,0.752561565,0,0.752561565
367,1,1000000,0.750685024,0.750685024,0,0.750685024,0,0.750685024
368,1,1000000,0.419236823,0.419236823,0,0.419236823,0,0.419236823
369,1,1000000,0.693686745,0.693686745,0,0.693686745,0,0.693686745
370,1,1000000,0.71502252,0.71502252,0,0.71502252,0,0.71502252
371,1,1000000,0.221533732,0.221533732,0,0.221533732,0,0.221533732
372,1,1000000,0.74264931,0.74264931,0,0.74264931,0,0.74264931
373,1,1000000,0.223275407,0.223275407,0,0.223275407,0,0.223275407
